id,name,dob,role,iban,bic,location_id
78,Gail Bergstrom,1961-10-29,Front-of-house,GB34PZUQ10307892228791,BCYPGB2LHGB,11
80,Myrl Koss,1996-04-28,Front-of-house,GB60ASPH63559871609244,BCYPGB2LMBB,13
81,Darcel Goldner,1977-03-11,Chef,GB00QXSA90103596728736,ABMNGB21,21
82,Robert Beatty,1998-05-10,Back-of-house,GB91LNPS34271128244937,AAPUGB21,15
84,Ernestine Heathcote,1965-09-04,Manager,GB32NAJE75538576114320,BCYPGB2LBBB,22
84,Ernestine Heathcote,1965-09-04,Manager,GB32NAJE75538576114320,BCYPGB2LBBB,24
89,Kendall O'Keefe,1959-05-27,Chef,GB22OPIS36572741317495,BOFAGB4TLTR,24
89,Kendall O'Keefe,1959-05-27,Chef,GB22OPIS36572741317495,BOFAGB4TLTR,4
91,Adrien Kulas,1991-10-01,Manager,GB01RPQF79892788937928,BOFAGB4TLTR,4
93,Phyliss Marquardt,1983-01-07,Manager,GB83FUGD54313704556323,BARBGB2LKIL,12
100,Lilly Wehner,1985-04-19,Front-of-house,GB86QZUQ75703660932707,BARBGB2LWEM,7
103,Domenic Kris,1960-02-26,Back-of-house,GB36HPTZ58057284847037,ABNAGB21VOC,14
104,Janeth Buckridge,2004-03-15,Back-of-house,GB71SYTY08112644254057,BOFAGB4TCDO,21
105,Adrienne Schinner,1960-04-04,Manager,GB66WLXU82175827402788,ABCMGB21,8
105,Adrienne Schinner,1960-04-04,Manager,GB66WLXU82175827402788,ABCMGB21,23
110,Jaye Lind,1959-01-22,Chef,GB69PPMX26820382390671,BSABGB2LXXX,4
111,Bryon Hudson,1987-07-12,Manager,GB51TUCE94935983068812,ABECGB21,6
112,Brant Hahn,1996-11-16,Chef,GB20FZIK02789896201935,BRBAGB2LXXX,24
112,Brant Hahn,1996-11-16,Chef,GB20FZIK02789896201935,BRBAGB2LXXX,15
114,Fernande Kuhlman,1968-05-07,Front-of-house,GB63VSER00877111863458,AAHOGB21,10
115,Reid Boyle,1965-07-15,Manager,GB49WEZS91600810335229,BOFAGB22OF2,13
115,Reid Boyle,1965-07-15,Manager,GB49WEZS91600810335229,BOFAGB22OF2,1
116,Madelene Treutel,1967-02-13,Back-of-house,GB19SRTH94494784444193,UBKLGB2LXXX,9
118,Almeda D'Amore,2001-12-08,Front-of-house,GB90OZQP49512525832680,AAHVGB21,5
129,Mariella Hirthe,1999-11-03,Back-of-house,GB09IDQS36334268167330,ASTPGB2LXXX,17
131,Justin Runolfsdottir,1969-02-17,Back-of-house,GB42BRQS71549350867095,AAPEGB21,15
132,Libbie Marquardt,1972-02-13,Back-of-house,GB13GBBA82126884795575,BCYPGB2LCBB,20
132,Libbie Marquardt,1972-02-13,Back-of-house,GB13GBBA82126884795575,BCYPGB2LCBB,16
136,Mabel Miller,1964-02-29,Manager,GB63LQPV63547046367733,ANTSGB2LXXX,8
140,Leslie Cormier,1978-01-20,Back-of-house,GB52HJCZ86854210013245,BCYPGB2LPGB,17
140,Leslie Cormier,1978-01-20,Back-of-house,GB52HJCZ86854210013245,BCYPGB2LPGB,23
140,Leslie Cormier,1978-01-20,Back-of-house,GB52HJCZ86854210013245,BCYPGB2LPGB,11
141,Althea Gutkowski,1985-02-28,Back-of-house,GB67XSQK47832222689203,BCYPGB2LBBB,3
143,Nanette Roberts,1969-01-04,Front-of-house,GB08WUMM09293671993867,BCYPGB2LHHB,17
148,Josefina Prosacco,1961-03-20,Front-of-house,GB70BQAU70457502125560,AIBKGB2XTSY,2
149,Jolie Bradtke,1961-04-25,Back-of-house,GB40WOTI07985236959319,BOFAGB22SEC,17
149,Jolie Bradtke,1961-04-25,Back-of-house,GB40WOTI07985236959319,BOFAGB22SEC,15
151,Scottie Brakus,1958-04-09,Manager,GB25ODKU55343109997511,ABNAGB21VOC,3
151,Scottie Brakus,1958-04-09,Manager,GB25ODKU55343109997511,ABNAGB21VOC,5
151,Scottie Brakus,1958-04-09,Manager,GB25ODKU55343109997511,ABNAGB21VOC,20
152,Era Pagac,1969-01-08,Chef,GB00ZISY65189340417548,BCYPGB2LMBB,3
154,Candida Smith,2003-01-02,Back-of-house,GB26SBTA15606973591833,BRBAGB2LXXX,8
155,Keith Bashirian,1973-04-23,Chef,GB45GZLP40023366222634,AAQIGB21,4
160,Royce Russel,1996-12-01,Front-of-house,GB43XDPJ84218986936639,ABMNGB21,24
161,Quyen Tremblay,1982-05-21,Manager,GB49DQZK13288766743548,BCYPGB2LSSB,12
163,Eloy Stamm,1982-03-14,Back-of-house,GB94WSEC31100971536634,BCYPGB2LSSB,8
173,Evan Larson,1964-10-15,Chef,GB23PSXH87170236268599,BOFAGB22SEC,11
174,Ricky Roberts,1958-04-23,Manager,GB91LAKF35479017784034,AIBKGB2XTSY,18
176,Royce Dach,1981-05-07,Front-of-house,GB02UWOJ19036320706919,BSABGB2LXXX,5
176,Royce Dach,1981-05-07,Front-of-house,GB02UWOJ19036320706919,BSABGB2LXXX,1
176,Royce Dach,1981-05-07,Front-of-house,GB02UWOJ19036320706919,BSABGB2LXXX,11
176,Royce Dach,1981-05-07,Front-of-house,GB02UWOJ19036320706919,BSABGB2LXXX,10
177,Autumn Ernser,1989-02-07,Chef,GB24SXLS00831063800638,BCYPGB2LMBB,16
181,Sarita Greenholt,1969-10-07,Front-of-house,GB78VZCN95056402070198,BOFAGB22SEC,10
183,Mirella Luettgen,2000-05-14,Front-of-house,GB18VHCF48274094344569,UBKLGB2LBAK,13
183,Mirella Luettgen,2000-05-14,Front-of-house,GB18VHCF48274094344569,UBKLGB2LBAK,23
186,Reyes Cassin,2000-12-14,Front-of-house,GB70YXZY67553364519711,BSCHGB2LEQU,12
190,Santiago Muller,1999-09-10,Manager,GB86IWAA52730168475899,BOFAGB4TIPA,10
191,Emmanuel Prohaska,1995-10-12,Back-of-house,GB68WKOO29383095495107,BOFAGB4TLTR,22
193,Alvaro Weimann,1983-11-06,Back-of-house,GB26WQCG45256708582889,BSCHGB2LEQU,17
197,Tracy Nolan,1985-12-14,Front-of-house,GB67JCHX67255030705038,BARBGB2LLEI,13
198,Junko Gislason,1998-11-27,Chef,GB69BCRL75628399910701,BCEYGB2LXXX,16
199,Jarvis Maggio,1986-11-30,Back-of-house,GB38ADQO73757099056704,UBKLGB2LXXX,16
201,Marx Leuschke,1967-10-09,Manager,GB17RWGU81603995514470,BCYPGB2LBBB,6
201,Marx Leuschke,1967-10-09,Manager,GB17RWGU81603995514470,BCYPGB2LBBB,19
206,Jacquie Hahn,1984-03-28,Chef,GB38HNVN77496403914738,BOFAGB4TIPA,21
207,Kim Russel,1994-04-19,Front-of-house,GB93PPQN03427111892112,ALEIGB22TSY,13
209,James Champlin,1979-12-14,Back-of-house,GB88AMTI52673020854343,BARBGB2LHAR,14
211,Annamae Wehner,2001-01-04,Front-of-house,GB44WWNR72226717450213,ABDIGB21,22
218,Santo Hills,1958-06-17,Chef,GB37KHEL41079911516428,BRBAGB2LXXX,15
218,Santo Hills,1958-06-17,Chef,GB37KHEL41079911516428,BRBAGB2LXXX,9
219,Emerita Wisozk,1968-05-11,Back-of-house,GB70MLLE31844854507109,BCYPGB2LCBB,12
220,Rashad Ziemann,1999-09-05,Front-of-house,GB82XAWR57338597684711,BCEYGB2LXXX,23
221,Shaquana Rempel,1985-08-24,Chef,GB94MUBM17190663603035,ANTSGB2LXXX,2
223,Magdalen Dibbert,1989-09-14,Front-of-house,GB82NYOX73296512618603,BOFAGB4TCCD,5
223,Magdalen Dibbert,1989-09-14,Front-of-house,GB82NYOX73296512618603,BOFAGB4TCCD,14
225,Reid Lehner,1987-09-20,Manager,GB82HJYJ27514628395265,BARBGB2LKEN,4
225,Reid Lehner,1987-09-20,Manager,GB82HJYJ27514628395265,BARBGB2LKEN,21
226,Nancee Spencer,1963-03-28,Chef,GB51BMUU80005105824076,ABCCGB22,21
229,Mardell McGlynn,1971-01-26,Front-of-house,GB05IHNG26518591296369,ABCEGB2L,8
229,Mardell McGlynn,1971-01-26,Front-of-house,GB05IHNG26518591296369,ABCEGB2L,7
235,Luke Luettgen,1967-08-14,Manager,GB69FEVO13799323085050,BCYPGB2LMBB,14
235,Luke Luettgen,1967-08-14,Manager,GB69FEVO13799323085050,BCYPGB2LMBB,21
239,Carson Carroll,1999-07-24,Back-of-house,GB21OGNQ19656578764086,BOFAGB4TIPA,13
242,Buford Conroy,1996-11-27,Manager,GB85VASB86064196512823,BCYPGB2LHGB,13
245,Mario Raynor,1967-11-24,Back-of-house,GB92QAOS11875777928022,AKBKGB22XXX,25
251,Bennie Spencer,1998-12-31,Back-of-house,GB13TCNV29301073265943,AAPUGB21,16
253,Jessi Schneider,1986-07-22,Chef,GB30IEXW35988459810987,ABECGB21,21
254,Luise Leuschke,1999-04-20,Back-of-house,GB54EYAF43961303998775,AAHOGB21,16
260,Guillermo Gutmann,1992-09-04,Chef,GB00NSYE25909808174944,BCYPGB2LPGB,24
262,Luanna Collins,1984-09-02,Front-of-house,GB06JRWF21663302362026,BARBGB2LWEM,23
263,Lauralee Williamson,1978-06-12,Front-of-house,GB50ORAA88271035571260,AAHOGB21,15
264,Billy Schiller,1966-08-23,Front-of-house,GB15FBNW46106361064761,BOFAGB4TCCD,7
265,Carlton Brekke,1992-06-12,Front-of-house,GB53KYOL23699379537776,BCYPGB2LBBB,13
268,Ed Senger,1976-12-09,Chef,GB58VBAN89226658213395,ABDIGB21,25
268,Ed Senger,1976-12-09,Chef,GB58VBAN89226658213395,ABDIGB21,18
268,Ed Senger,1976-12-09,Chef,GB58VBAN89226658213395,ABDIGB21,15
271,Seth Schoen,1986-02-17,Manager,GB12CNMG08810025994073,BARBGB2LTOO,5
273,Clifton Gleason,1967-12-10,Front-of-house,GB35QIXA71070893506098,BOFAGB3SSWI,9
275,Margret Becker,2002-05-18,Manager,GB81DVWU94701976935216,ANTSGB2LXXX,10
278,Joanne Ziemann,2001-02-05,Back-of-house,GB79IUEX29901411517346,BARBGB2LKEN,2
278,Joanne Ziemann,2001-02-05,Back-of-house,GB79IUEX29901411517346,BARBGB2LKEN,6
278,Joanne Ziemann,2001-02-05,Back-of-house,GB79IUEX29901411517346,BARBGB2LKEN,18
279,Markita Lang,1961-03-02,Front-of-house,GB72LNZT82005134199193,UBKLGB2LBAK,1
280,Lakesha Jacobson,1993-03-22,Manager,GB16CHLP30129504586626,BKCHGB2UXXX,12
281,Richard Smitham,1978-06-24,Front-of-house,GB61CQLD98537039076825,ABFIGB21,1
286,Noma Kreiger,1965-06-05,Manager,GB37URCV31077452213083,BSABGB2LXXX,15
286,Noma Kreiger,1965-06-05,Manager,GB37URCV31077452213083,BSABGB2LXXX,24
291,Ellis Murphy,1980-05-28,Back-of-house,GB91HZFA74863292613872,BARBGB2LKEN,19
292,Chana Runolfsdottir,1981-10-15,Front-of-house,GB02GLWW00629724502045,UBKLGB2LBAK,13
292,Chana Runolfsdottir,1981-10-15,Front-of-house,GB02GLWW00629724502045,UBKLGB2LBAK,19
293,Charlyn Harris,1968-10-18,Front-of-house,GB82MRSO10976367246513,BCYPGB2LMBB,16
296,Kurt Dibbert,2003-09-16,Manager,GB70BXJC98529333415690,ABBEGB21,5
296,Kurt Dibbert,2003-09-16,Manager,GB70BXJC98529333415690,ABBEGB21,16
297,Kyle Herman,1979-10-21,Back-of-house,GB45SWWV65883222447496,BCYPGB2LCSB,13
298,Lorenzo Will,1985-11-29,Chef,GB95DUHL01106945496092,AIBKGB2XTSY,1
300,Junko Blanda,1984-11-28,Manager,GB55ECCI27681943552413,BOFAGB4TIPA,16
302,Cary Beatty,1968-04-27,Back-of-house,GB21AWZX39530849623512,ANTSGB2LCHA,12
306,Maren Moore,1996-04-11,Manager,GB34IXOE09052502094150,ABBYGB2L,5
308,Roseline Jacobi,1958-10-10,Manager,GB22JMCG75349293299324,BOFAGB4TIPA,13
309,Cherlyn Koepp,1973-06-04,Chef,GB22IQQG23431684835478,ASTPGB2LXXX,2
310,My Schaefer,1962-04-16,Front-of-house,GB53VHXY47777604981466,BOFAGB4TIPA,2
312,Jessika Kling,1997-02-25,Chef,GB14LSVJ51479057766494,AIBKGB2XTSY,19
313,Peggy Maggio,1970-12-21,Chef,GB18GWTO74196264110446,BCYPGB2LCBB,1
314,Wilson Durgan,1971-10-14,Chef,GB75RKAH26591122206664,BOFAGB4TCCD,10
315,Johnson Connelly,1982-04-23,Back-of-house,GB70ZDJS85044035206092,BARBGB2LWEM,17
316,Glynis Kihn,1991-04-28,Chef,GB54EDQZ43797101888275,BOFAGB22OF2,20
318,Winfred Dibbert,1993-06-28,Front-of-house,GB90MPRB02866286298245,ABAZGB21,16
318,Winfred Dibbert,1993-06-28,Front-of-house,GB90MPRB02866286298245,ABAZGB21,18
320,Ilda Spinka,1985-01-18,Manager,GB53WUAT54464473700585,UBKLGB2LBAK,21
320,Ilda Spinka,1985-01-18,Manager,GB53WUAT54464473700585,UBKLGB2LBAK,24
321,Clifton Dooley,1974-08-27,Chef,GB16UHLC32299347006143,BARBGB2LKEN,9
322,Vella Altenwerth,1959-10-28,Back-of-house,GB37OUGN96362439079882,BOFAGB22XXX,14
323,Nicholas Mertz,1983-02-12,Back-of-house,GB54IWTO90065286341923,BOFAGB4TCDO,24
323,Nicholas Mertz,1983-02-12,Back-of-house,GB54IWTO90065286341923,BOFAGB4TCDO,3
324,Hang Muller,1998-09-19,Manager,GB49VNSE78610138519613,BCYPGB2LXXX,8
330,Christian Cummings,1978-10-31,Chef,GB42YVWL91685131924615,AACCGB21,4
333,Johnie Jacobi,1966-12-14,Chef,GB94EVHL52135366712909,AANLGB2L,1
335,Karlyn Wuckert,1968-05-19,Back-of-house,GB04NMRI69140606117340,BARBGB2LHAR,11
343,Kim Cormier,1978-06-10,Back-of-house,GB56KRMR85768072537308,BCEYGB2LXXX,18
349,Raymond Luettgen,2003-10-03,Back-of-house,GB72RPRN15357469606200,ABDIGB21,22
356,Marlana Schmitt,1967-12-26,Back-of-house,GB74RKVA49130710136014,BKCHGB2LXXX,12
356,Marlana Schmitt,1967-12-26,Back-of-house,GB74RKVA49130710136014,BKCHGB2LXXX,3
357,August Blanda,1958-11-07,Front-of-house,GB02RBPS78918948314709,ABECGB21,7
357,August Blanda,1958-11-07,Front-of-house,GB02RBPS78918948314709,ABECGB21,20
360,Hildegarde Kertzmann,1959-06-11,Manager,GB36DLAX06490893415041,BCYPGB2LMBB,19
366,Tawnya Hyatt,1965-08-03,Back-of-house,GB17KAKR50141723831870,ABBEGB21,3
367,Tequila Emmerich,1987-04-01,Chef,GB06DCSW97790727357715,AKBKGB22XXX,24
372,Bunny Kilback,1971-02-09,Back-of-house,GB80QCAY09507481240532,BSABGB2LXXX,10
373,Elfriede Jacobi,1995-09-25,Manager,GB31IFPX90423907352124,ABNAGB21VOC,19
377,Jerry Rempel,1989-02-22,Front-of-house,GB87RCBN53791063991064,BOFAGB4TLTR,5
377,Jerry Rempel,1989-02-22,Front-of-house,GB87RCBN53791063991064,BOFAGB4TLTR,3
384,Ranee Bartell,1974-07-26,Chef,GB01YWJA72052400428829,BARBGB2LBIR,6
386,Rubi Fritsch,1970-01-31,Front-of-house,GB77BPVY06703409069655,BSABGB2LXXX,2
390,Kenna Ferry,1994-09-22,Manager,GB78SLAB80969820069354,BARBGB2LKIL,17
390,Kenna Ferry,1994-09-22,Manager,GB78SLAB80969820069354,BARBGB2LKIL,9
396,Florinda Prosacco,1993-08-12,Back-of-house,GB41AUIV64749023438373,AKBKGB22XXX,12
403,Stevie Powlowski,1974-04-06,Front-of-house,GB47MPTC99896003728480,BARBGB2LLEI,5
404,Edna Ortiz,1997-06-26,Chef,GB18ELGL36039636565048,BCYPGB2LCSB,14
406,Frankie Russel,2004-02-21,Front-of-house,GB52PZMR99168879708814,BKCHGB2LXXX,22
409,Chance Gorczany,1959-01-29,Chef,GB79PPWI12566603159198,ASTPGB2LXXX,9
414,Michael Carter,1987-07-23,Front-of-house,GB34SFTB98334800926096,BCYPGB2LCSB,1
421,Roman Nolan,1994-10-14,Front-of-house,GB15VDAF88477079361438,AAPUGB21,19
422,Roosevelt Lind,2003-11-01,Front-of-house,GB75VDPY08273138633156,MORLGB2LSMK,7
424,Gayla Hilpert,1967-01-01,Back-of-house,GB10IYLT57324632437626,BCYPGB2LHGB,6
425,Jeanette Jacobi,1963-02-27,Manager,GB54GVLY70250424583368,BCEYGB2LXXX,22
429,Tyson Bernier,1987-01-29,Front-of-house,GB95CHGF68420957192643,BCYPGB2LHHB,4
430,Georgine Boyle,1982-08-01,Chef,GB32ZWMU21260218944063,BKCHGB2LXXX,24
431,Mason Fahey,1965-05-20,Back-of-house,GB34KJGK14413091739827,BCYPGB2LPGB,19
433,King Heaney,1968-10-15,Chef,GB17SXNT72071823673394,ABAZGB21,25
437,Osvaldo Wisoky,1972-06-11,Manager,GB51RGYQ49033418528530,UBKLGB2LXXX,21
439,Claretha Beier,1974-01-24,Manager,GB17SDUM14959436448069,BCYPGB2LSSB,7
439,Claretha Beier,1974-01-24,Manager,GB17SDUM14959436448069,BCYPGB2LSSB,21
440,Demetria Schmitt,1964-02-07,Manager,GB89NNVJ54845695863663,ASTPGB2LXXX,25
442,George Abernathy,1984-10-02,Back-of-house,GB00BCCR18231392388996,BOFAGB4TCDO,23
447,Nickolas Howe,1976-02-08,Back-of-house,GB86BRUQ04702361093153,UBKLGB2LXXX,1
448,Cammy Muller,1984-03-28,Back-of-house,GB04SKFC31409034650989,UBKLGB2LXXX,5
449,Ike Ruecker,1986-01-26,Front-of-house,GB46WFSE63089961441180,ASTPGB2LXXX,15
456,Adrianna Dickinson,1987-08-09,Front-of-house,GB78MYGW38696733074867,BOFAGB22OF2,2
457,Jerrie Labadie,1994-12-10,Front-of-house,GB47KDFE10105521463798,BRBAGB2LXXX,18
457,Jerrie Labadie,1994-12-10,Front-of-house,GB47KDFE10105521463798,BRBAGB2LXXX,22
458,Marcel Lebsack,1994-10-13,Chef,GB22STYO02079918033997,AIBKGB2XTSY,8
459,Moshe Keebler,1993-08-03,Chef,GB55BDUF11490242201350,BRBAGB2LXXX,2
460,Efren Stoltenberg,1976-07-23,Manager,GB36AKGB65642692847818,BCYPGB2LMBB,1
461,Tangela Macejkovic,1984-06-01,Chef,GB86FLOZ05076268461191,BARBGB2LHAR,20
462,Erika Wuckert,1996-09-04,Manager,GB68XNMT42931830204463,AAPUGB21,19
463,Cordie Boyer,2002-02-14,Chef,GB51BNED64923491051047,BCYPGB2LHHB,17
465,Phyllis Kozey,1991-01-20,Front-of-house,GB61DICT11998888045934,ABCCGB22,6
465,Phyllis Kozey,1991-01-20,Front-of-house,GB61DICT11998888045934,ABCCGB22,13
474,Patricia Collier,2004-07-22,Back-of-house,GB59OZLT98945727739997,BARBGB2LLEI,3
476,Deangelo Herzog,1959-11-23,Back-of-house,GB74ACOA59973202032648,ABNAGB21VOC,18
476,Deangelo Herzog,1959-11-23,Back-of-house,GB74ACOA59973202032648,ABNAGB21VOC,8
478,Earle Mohr,1978-07-26,Chef,GB25IZTM25490432605241,UBKLGB2LBAK,13
483,Tonie Harber,1994-02-22,Manager,GB74LSMD34310759229259,BOFAGB4TCCD,19
485,Francisca Reinger,1963-10-30,Manager,GB96MJUQ10456090300226,BCYPGB2LSSB,8
486,Rod Klocko,1984-08-30,Manager,GB42BGMY93659098949023,BCYPGB2LHHB,11
488,Cary Monahan,2002-08-05,Chef,GB02ELWE14707152246450,BKCHGB2UXXX,18
495,Francis Johns,1997-01-30,Manager,GB04ORUU51864585813658,AAHOGB21,1
499,Tai Gorczany,1979-10-31,Back-of-house,GB65GBYV05951692415736,BCYPGB2LPGB,4
500,Rhett Lockman,1991-01-02,Manager,GB00QALG59442278795275,ASTPGB2LXXX,24
